Country,AQI Value,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Unnamed: 20,Unnamed: 21,Unnamed: 22
guinea-bissau,120.0,SUB-SAHARAN AFRICA                 ,1442029.0,36120.0,"39,9","0,97","-1,57","107,17",800,"42,4","7,4","10,67","8,82","80,51",2,"37,22","16,53","0,62","0,12","0,26",,,
guyana,35.1,LATIN AMER. & CARIB    ,767245.0,214970.0,"3,6","0,21","-2,07","33,26",4000,"98,8","143,5","2,44","0,15","97,41",2,"18,28","8,28","0,37","0,203","0,427",,,
haiti,116.42857142857143,LATIN AMER. & CARIB    ,8308504.0,27750.0,"299,4","6,38","-3,4","73,45",1600,"52,9","16,9","28,3","11,61","60,09",2,"36,44","12,17","0,28","0,2","0,52",,,
honduras,66.39285714285714,LATIN AMER. & CARIB    ,7326496.0,112090.0,"65,4","0,73","-1,99","29,32",2600,"76,2","67,5","9,55","3,22","87,23",2,"28,24","5,28","0,139","0,312","0,549",,,
hungary,62.42553191489362,EASTERN EUROPE                     ,9981334.0,93030.0,"107,3","0,00","0,86","8,57",13900,"99,4","336,2","50,09","2,06","47,85",3,"9,72","13,11","0,037","0,312","0,651",,,
iceland,23.0,WESTERN EUROPE                     ,299388.0,103000.0,"2,9","4,83","2,38","3,31",30900,"99,9","647,7","0,07",0,"99,93",3,"13,64","6,72","0,086","0,15","0,765",,,
india,142.73425692695213,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900,"59,5","45,4","54,4","2,74","42,86","2,5","22,01","8,18","0,186","0,276","0,538",,,
indonesia,86.54838709677419,ASIA (EX. NEAR EAST)         ,245452739.0,1919440.0,"127,9","2,85",0,"35,6",3200,"87,9","52,0","11,32","7,23","81,45",2,"20,34","6,25","0,134","0,458","0,408",,,
iran (islamic republic of),113.28125,,,,,,,,,,,,,,,,,,,,,,
iraq,132.66666666666666,NEAR EAST                          ,26783383.0,437072.0,"61,3","0,01",0,"50,25",1500,"40,4","38,6","13,15","0,78","86,07",1,"31,98","5,37","0,073","0,666","0,261",,,
ireland,40.81481481481482,WESTERN EUROPE                     ,4062235.0,70280.0,"57,8","2,06","4,99","5,39",29600,"98,0","500,5","15,2","0,03","84,77",3,"14,45","7,82","0,05","0,46","0,49",,,
israel,85.0,NEAR EAST                          ,6352117.0,20770.0,"305,8","1,31","0,68","7,03",19800,"95,4","462,3","16,39","4,17","79,44",3,"17,97","6,18","0,026","0,317","0,657",,,
italy,61.840646651270205,WESTERN EUROPE                     ,58133509.0,301230.0,"193,0","2,52","2,07","5,94",26700,"98,6","430,9","27,79","9,53","62,68",,"8,72","10,4","0,021","0,291","0,688",,,
jamaica,90.66666666666667,LATIN AMER. & CARIB    ,2758124.0,10991.0,"250,9","9,30","-4,92","12,36",3900,"87,9","124,0","16,07","10,16","73,77",2,"20,82","6,52","0,049","0,337","0,615",,,
japan,52.79317269076305,ASIA (EX. NEAR EAST)         ,127463611.0,377835.0,"337,4","7,87",0,"3,26",28200,"99,0","461,2","12,19","0,96","86,85",3,"9,37","9,16","0,017","0,258","0,725",,,
jordan,91.5,NEAR EAST                          ,5906760.0,92300.0,"64,0","0,03","6,59","17,35",4300,"91,3","104,5","2,67","1,83","95,5",1,"21,25","2,65","0,033","0,287","0,68",,,
kazakhstan,55.52173913043478,C.W. OF IND. STATES ,15233244.0,2717300.0,"5,6","0,00","-3,35","29,21",6300,"98,4","164,1","7,98","0,05","91,97",4,16,"9,42","0,067","0,386","0,547",,,
kenya,72.28888888888889,SUB-SAHARAN AFRICA                 ,34707817.0,582650.0,"59,6","0,09","-0,1","61,47",1000,"85,1","8,1","8,08","0,98","90,94","1,5","39,72","14,02","0,163","0,188","0,651",,,
kingdom of eswatini,94.5,,,,,,,,,,,,,,,,,,,,,,
kuwait,161.0,NEAR EAST                          ,2418393.0,17820.0,"135,7","2,80","14,18","9,95",19000,"83,5","211,0","0,73","0,11","99,16",1,"21,94","2,41","0,004","0,479","0,516",,,
kyrgyzstan,81.0,C.W. OF IND. STATES ,5213898.0,198500.0,"26,3","0,00","-2,45","35,64",1600,"97,0","84,0","7,3","0,35","92,35","2,5","22,8","7,08","0,353","0,208","0,439",,,
lao people's democratic republic,44.75,,,,,,,,,,,,,,,,,,,,,,
latvia,40.529411764705884,BALTICS                            ,2274735.0,64589.0,"35,2","0,82","-2,23","9,55",10200,"99,8","321,4","29,67","0,47","69,86",3,"9,24","13,66","0,04","0,261","0,699",,,
lebanon,64.0,NEAR EAST                          ,3874050.0,10400.0,"372,5","2,16",0,"24,52",4800,"87,4","255,6","16,62","13,98","69,4",,"18,52","6,21","0,12","0,21","0,67",,,
lesotho,98.25,SUB-SAHARAN AFRICA                 ,2022331.0,30355.0,"66,6","0,00","-0,74","84,23",3000,"84,8","23,7","10,87","0,13",89,3,"24,75","28,71","0,163","0,443","0,394",,,
liberia,39.22222222222222,SUB-SAHARAN AFRICA                 ,3042004.0,111370.0,"27,3","0,52",0,"128,87",1000,"57,5","2,3","3,95","2,28","93,77",2,"44,77","23,1","0,769","0,054","0,177",,,
libya,78.8,NORTHERN AFRICA                    ,5900754.0,1759540.0,"3,4","0,10",0,"24,6",6400,"82,6","127,1","1,03","0,19","98,78",,"26,49","3,48","0,076","0,499","0,425",,,
lithuania,37.0,BALTICS                            ,3585906.0,65200.0,"55,0","0,14","-0,71","6,89",11400,"99,6","223,4","45,22","0,91","53,87",,"8,75","10,98","0,055","0,325","0,62",,,
luxembourg,26.0,WESTERN EUROPE                     ,474413.0,2586.0,"183,5","0,00","8,97","4,81",55100,"100,0","515,4","23,28","0,4","76,32",,"11,94","8,41","0,01","0,13","0,86",,,
madagascar,31.220338983050848,SUB-SAHARAN AFRICA                 ,18595469.0,587040.0,"31,7","0,82",0,"76,83",800,"68,9","3,6","5,07","1,03","93,91",2,"41,41","11,11","0,276","0,165","0,559",,,
malawi,47.333333333333336,SUB-SAHARAN AFRICA                 ,13013926.0,118480.0,"109,8","0,00",0,"103,32",600,"62,7","7,9","23,38","1,49","75,13",2,"43,13","19,33","0,342","0,158","0,499",,,
malaysia,93.03125,ASIA (EX. NEAR EAST)         ,24385858.0,329750.0,"74,0","1,42",0,"17,7",9000,"88,7","179,0","5,48","17,61","76,91",2,"22,86","5,05","0,084","0,48","0,436",,,
maldives,19.0,ASIA (EX. NEAR EAST)         ,359008.0,300.0,"1196,7","214,67",0,"56,52",3900,"97,2","90,0","13,33","16,67",70,2,"34,81","7,06","0,2","0,18","0,62",,,
mali,97.44444444444444,SUB-SAHARAN AFRICA                 ,11716829.0,1240000.0,"9,5","0,00","-0,33","116,79",900,"46,4","6,4","3,82","0,03","96,15",2,"49,82","16,89","0,45","0,17","0,38",,,
malta,49.5,WESTERN EUROPE                     ,400214.0,316.0,"1266,5","62,28","2,07","3,89",17700,"92,8","505,0","28,13","3,13","68,74",,"10,22","8,1","0,03","0,23","0,74",,,
mauritania,164.0,SUB-SAHARAN AFRICA                 ,3177388.0,1030700.0,"3,1","0,07",0,"70,89",1800,"41,7","12,9","0,48","0,01","99,51",1,"40,99","12,16","0,25","0,29","0,46",,,
mauritius,46.84615384615385,SUB-SAHARAN AFRICA                 ,1240827.0,2040.0,"608,3","8,68","-0,9","15,03",11400,"85,6","289,3","49,26","2,96","47,78",2,"15,43","6,86","0,059","0,298","0,643",,,
mexico,86.24846625766871,LATIN AMER. & CARIB    ,107449525.0,1972550.0,"54,5","0,47","-4,87","20,91",9000,"92,2","181,6","12,99","1,31","85,7","1,5","20,69","4,74","0,038","0,259","0,702",,,
